AÑO,MES,DIA,CARBON,NUCLEAR,HIDRAULICA,CICLOCOMBINADO,EOLICA,SOLARTERMICA,SOLARFOTO,COGENERACION,IMPORTACION
2022,FEBRERO,22,19303.8,170128.5,57323.3,105517.3,220686.6,14354.5,88676.4,130874.9,63660.1
2022,FEBRERO,23,19342.8,170106.7,74443.1,175029.9,145971.7,7383.4,72243.2,134028.7,64112.8
2022,FEBRERO,24,19363.3,170091,74443.4,159202.6,170928.3,1157,52100.9,136562.6,69383.4
2022,FEBRERO,25,19350.3,170032.1,85893,47586,377695.9,555.1,44519.6,135190.2,3674.7
2022,FEBRERO,26,19368,170045.7,76072.4,98642.7,200401.5,711.8,44804.5,130624.3,48378.4
2022,FEBRERO,27,27843,170125.7,61117.9,94954,84971.2,5014.1,64195.8,126865.6,83802.9
2022,FEBRERO,28,28488,170201,74523.2,178950.5,82427.2,11372.4,81598,129585.7,65073.6
2022,MARZO,01,28488,170219.2,67908.4,177587.1,157560.9,13364.1,81694.2,125829.8,16474.9
2022,MARZO,02,28488,170271.7,61530.8,181734.5,218397.7,9615.2,79132.2,127204.2,658.7
2022,MARZO,03,28563.3,170273.6,89272.9,126423.8,256577.1,1861.7,42950.1,129645.5,14771.2
2022,MARZO,04,28878.6,170164,64991.6,70375.6,371712.3,5438.5,62750.3,133221.7,8657.1
2022,MARZO,05,28953.9,163977.4,60741,70404.8,201099.6,5139.2,69073.3,130731.7,42045.8
2022,MARZO,06,28728,167550.9,61495.9,20747,188238.3,10672.9,69453.9,126999.9,52296.3
2022,MARZO,07,28953.9,170641.3,92226.9,138159.6,139745.9,5765.7,64542.1,132844.1,53170.5
2022,MARZO,08,29263.3,170937.7,73278.3,114982.5,212238.9,4656.8,59792.8,127786.6,32625.2
2022,MARZO,09,19848,170713.7,61177.3,133134.2,233631.2,8929.7,73175.5,127916.7,36292.9
2022,MARZO,10,19848,170164.3,58417.7,95532.6,261387.9,9539.2,71005.2,132700.2,34731.8
2022,MARZO,11,19834,170144,63144.1,83197.7,325948.3,758.1,35738.8,134848.5,38677.4
2022,MARZO,12,18029,170210.8,53343.9,33608,291990.4,5642.2,71390.5,132617.1,12352.3
2022,MARZO,13,17698.1,170130,73485.7,40447,200582,5497.6,76225.3,131888.3,8573.2
2022,MARZO,14,24255.6,144605,57483.8,80583.6,395979.3,578.7,34327.3,134374.7,0
2022,MARZO,15,30036,144596,84844.5,83291.4,364531.4,1017.1,46787.7,136466.7,0
2022,MARZO,16,33641,144581.6,99392.9,128249,261560.2,1001.3,37911.7,137074.8,7102.2
2022,MARZO,17,32447,144411.1,53942.8,17620.9,458500.3,3585.7,49820.8,133804.7,166.8
2022,MARZO,18,32956.7,144617,62927.9,87277.9,281585.2,9401.4,62122.6,138731.1,36761.8
2022,MARZO,19,26309.3,144675.6,57046,35384.1,207943.5,9536.5,63603.2,129629.5,66102.5
2022,MARZO,20,24838.3,144713.2,43666.9,32088,314672.7,2142.4,45482,128893.4,608.5
2022,MARZO,21,24884.8,144665,59496.6,129856.2,315385,538.7,36299.8,132036.7,5546.9
2022,MARZO,22,26213.2,144649.7,53871.6,119296.5,339550.9,72.7,40999.7,136678,0
2022,MARZO,23,26199.6,144616.5,54659.6,96174.4,380528.6,942.7,31205.3,135467.3,0
2022,MARZO,24,17104.5,144675.2,74687.1,107292.7,327139.3,402.5,35735.7,134405,8371.3
2022,MARZO,25,17136,144694.8,105930.1,106677.9,262071.5,430.3,39671.7,136422.7,16239.6
2022,MARZO,26,12301.2,144789.6,65331.6,86951.1,152366.4,5402.8,60405.4,131497.9,59688.7
2022,MARZO,27,11096,138760.4,51510.5,61524.3,165753.2,9051.2,77631.8,116005.2,43506
2022,MARZO,28,12330.6,144818.2,71139.9,189354.7,230220.1,1200,60324.5,132439.5,0
2022,MARZO,29,12336,144991.2,91376.2,255139,100688.1,1245.4,50947.4,133811.5,20828.8
2022,MARZO,30,12336,144814.6,98933.2,139753.6,252655.5,3016.4,59391.2,138089,1959.4
2022,MARZO,31,15797.2,144802.8,75905.9,30241.9,396349.2,6985.6,78511.8,137012,0
2022,ABRIL,01,7880,144746.8,76136,15495,407050.8,14549.7,95741.2,130092.2,0
2022,ABRIL,02,4640,144731.6,74106.4,12466,334122.1,18923.1,108385.9,126100.1,0
2022,ABRIL,03,17264,144688.4,53384.7,9167,307807.8,16051.5,100675.4,123378.9,0
2022,ABRIL,04,21420,143891,77201,66214.9,382562.8,3378.7,67822.7,128719.5,0
2022,ABRIL,05,33288,143932.8,103617.6,163869.7,240416.9,1066.8,44872.5,132341.1,3020.8
2022,ABRIL,06,37366.6,143563.2,83857.9,160818.9,192769.3,11999.4,98318.1,126767.5,10365.9
2022,ABRIL,07,37915,144717.5,60839.3,26956,335072.8,18053,105527.8,128966,17031.7
2022,ABRIL,08,33855.4,153673.8,55340,14942.8,420773.3,13608.4,90712.6,129500.2,0
2022,ABRIL,09,36287,155858.6,90374.5,69163.5,164262.9,8418.5,78802.7,130291.9,526.4
2022,ABRIL,10,4239,155472.4,55002.1,26331,264889.7,15817.9,106047.5,121037.9,1055.4
2022,ABRIL,11,1246,155413.2,62008,10365.4,427342.1,5716.2,79221.6,126545.8,2557.6
2022,ABRIL,12,29062,156516.6,73173,153365.7,209412.3,1205.8,64619.7,132755.2,329.1
2022,ABRIL,13,30064.9,166763.6,74768.6,114559.7,161830.6,9908,82729.8,133522.9,15818.7
2022,ABRIL,14,33926.5,168566.6,70143.2,63394,131481.4,16151.3,102472,127890.6,2658.1
2022,ABRIL,15,31803.9,168484.9,48731.1,25535.9,106930,22495.7,113939.2,121522.7,21811.1
2022,ABRIL,16,8989,168441,43266,12273.4,166602.5,24456,113135.7,117327,37529
2022,ABRIL,17,7806,166800.6,42715.3,150,154571.7,21719.3,111807.9,113119.8,31878.5
2022,ABRIL,18,7606,166733,56194.5,150,241675,20757.3,112128,116017.4,9769.3
2022,ABRIL,19,7546,166213.2,68364.5,3705,366168.3,13445.4,81655.9,119787.5,0
2022,ABRIL,20,6483,165842,57757.3,0,450345.8,11162.1,67905.5,118889.2,0
2022,ABRIL,21,6483,165912.3,108409.5,5295,301510.3,17827.2,104507,120246,4382.6
2022,ABRIL,22,16537.3,160014.7,104050.3,48390.5,231749.4,2322.8,42306.7,127430.8,58841.1
2022,ABRIL,23,2213.3,145673.3,47816.9,420,396822.7,7198.2,84622.5,119460.7,1242.8
2022,ABRIL,24,2483,145412.1,61571.9,16979.5,226320.4,13370.9,110856.4,117980.5,11067.3
2022,ABRIL,25,26347.6,145438.3,105370,132292.3,64395.2,20067.9,121908.9,128770.2,23077.5
2022,ABRIL,26,26045.2,120017.4,88698.5,248539.2,83096.2,8769.2,86957.6,131827,15467.5
2022,ABRIL,27,24780.7,120331.8,88020.9,243691.3,75389.4,12856.2,75865.5,131601.8,29887.2
2022,ABRIL,28,36322.3,120696,121581.1,141193.7,126927.7,11995.4,82522,129979.7,22815.4
2022,ABRIL,29,35704.4,120816,109423.2,136295.9,124207.2,20782.8,116539.6,134428.4,0
2022,ABRIL,30,3434,133092.4,98471.2,94154.7,147544.8,22194.9,112880.9,127575.3,0
2022,MAYO,01,1404,143429,76200,20873,155466.4,23875.1,122322.1,118890.3,6102.5
2022,MAYO,02,6524,145834.2,100587.6,39805.1,219604.8,18359.1,95709.1,127114.3,0
2022,MAYO,03,8253,145927.2,127360.5,58549.7,260820,10814.3,81080.7,127719,0
2022,MAYO,04,8604,145773.1,130842.1,60435.2,227869.5,12679.1,92807.8,135273.9,0
2022,MAYO,05,8604,145723.8,115533.5,38633.2,240883.4,20690.8,120081.9,134771,0
2022,MAYO,06,8604,145646.5,111658.3,32948.7,246463,25174.2,124336.4,131323.8,0
2022,MAYO,07,8604,145797.3,81577.2,32668,194863.1,25102,128793.8,128303.9,0
2022,MAYO,08,8224.1,145754.4,76947.6,7377,132469.9,25958,122835.6,121140.7,10618
2022,MAYO,09,18285.9,145545.5,107900,97502.3,93842.2,23692.2,125615.3,126842.6,12840
2022,MAYO,10,17300.7,145340.2,103799.6,121480.3,104541.7,26901.2,128205.9,126185.3,7089
2022,MAYO,11,8735,145247.5,76369.9,137898,153694.8,26039.5,121661.3,123823.9,1847.2
2022,MAYO,12,7683.1,145029,70435.5,176454,164080.2,16758.8,101429.5,123971,8492.2
2022,MAYO,13,8193,144805.9,81703.1,178998.6,86711.2,21564.7,119709.6,129323.2,13334.4
2022,MAYO,14,8073,125089.1,63237.7,71598.4,125619,23767.8,110697.6,122246.7,53007.8
2022,MAYO,15,873,121651.1,53121.9,6363,278080.6,15497.5,103726.8,115635.5,16022.8
2022,MAYO,16,4487.2,121552.7,83504.8,87499.4,193348.7,24119.6,123336,118038.1,11014.7
2022,MAYO,17,5673,121499.2,80924.2,153634.1,160989.4,25937.7,127810.3,121426.2,4387.7
2022,MAYO,18,4473,121490.5,70572.1,195906.3,135176.9,23828.9,116938.4,121557.8,14435.3
2022,MAYO,19,16143,121548.5,66344.1,153086.5,203665,23612.9,117308.6,119393.9,11639.9
2022,MAYO,20,7326.8,121571.9,62794.8,139338.9,240542.6,20113.2,95070.4,120461.9,5886.3
2022,MAYO,21,2373,121293.9,50529.8,62924.5,236609.1,11276.1,89562.5,117626.4,32762.7
2022,MAYO,22,2872.4,121159.8,48609.6,45752.8,205406.7,13269,98451.3,118306.2,39215.8
2022,MAYO,23,5260.3,121238.9,50542.5,83939.2,236505.8,19963.6,121836.2,123713.4,22809.6
2022,MAYO,24,3817.4,121492.7,44763,91547.9,282934.5,22786.4,112890.2,117726,19032.4
2022,MAYO,25,4558.7,121719.3,50547.3,60267,304871.9,25850.6,123148.7,121149,7828.3
2022,MAYO,26,3273,121724.5,44557.1,31097.9,305817.7,26375.4,132141.8,116341.9,30345.8
2022,MAYO,27,2973,121853.6,44873.4,29814.1,285256,28212.1,133672.6,116787.3,31178.7
2022,MAYO,28,2073,121767.1,50076.8,22827,200094.5,29826.6,132978.8,111983.2,46208.3
2022,MAYO,29,2673,121603.1,48671.8,34321.4,176723,28167,123285.4,107793.4,34481.9
2022,MAYO,30,21947,121562.3,67919,183425.4,135422.7,13709.8,108428.2,120795.5,13657.6
2022,MAYO,31,23155.1,126202.3,58918.7,219173.4,95214,22709.6,127274.1,116807.5,15369.9
2022,JUNIO,01,18979.7,131153.7,52858.7,192184,148888.5,21869.1,115303.4,115967.5,19428.7
2022,JUNIO,02,20149.8,133175.5,54089.5,211791.7,105643.6,19102.5,110444.1,117188.7,42206.6
2022,JUNIO,03,24470.2,141299.7,47613.6,224504.2,104549.4,21827.5,118068.1,119211.5,23507.8
2022,JUNIO,04,22763.6,143017.1,42989.1,130959.5,102676.1,23802.2,119417.9,116520.5,46687.3
2022,JUNIO,05,13113,142956.7,38367.8,84052.3,96643.3,28075.9,132304.5,110463.6,53843
2022,JUNIO,06,13185,143551.5,33149,151529.4,135252.6,28811.7,124911.3,114500,44980
2022,JUNIO,07,7776,143544.3,33791.6,210617.4,132841.2,28840.3,128662.3,115447.7,24555.6
2022,JUNIO,08,7249.9,143365.5,29850.2,204212.9,195446.4,26640.1,115237.1,111946.2,17011.3
2022,JUNIO,09,6753,143265.6,36137.2,178749.1,197352.9,26810.5,129738.7,113880.4,12294.3
2022,JUNIO,10,7473,143180.5,44627.8,173684.2,163311.6,27255.3,125275.4,113271.3,22296
2022,JUNIO,11,5373,143514.1,41989.1,65808.2,190516.2,27200.9,125912.9,109786,32026.5
2022,JUNIO,12,2973,143590.4,33982,38379.6,212894.6,28441.2,120545.8,105535.4,42087.5
2022,JUNIO,13,21474,143549.8,47690.8,179687.9,184435.9,23926.6,118622.8,113660.1,12607.6
2022,JUNIO,14,26385.6,143247.2,48631,293562.2,104195.8,20548.1,110280.2,117501.4,12477.6
2022,JUNIO,15,39288,143326.4,45770.7,373157.1,96759.5,16910.2,101572.3,105615.8,0
2022,JUNIO,16,39480,143197.6,45943.7,398413.4,98403.3,14668.8,101501.2,103673.2,0
2022,JUNIO,17,46200,156671,44615.5,328062.1,129951,16159.3,107846.6,101148.8,0
